Time,Req Speed,Motor Speed,Volt Left,Speed Error,Voltage Request,Current,Current Req,Current Error,Right PWM,I part,Speed Prop Part
0.001,8086,17848,0.008,19566,0.076,0.008,0.11,0.108,0,0.0,0.116
0.002,8086,-152,0.232,862,0.099,0.088,0.12,0.033,300,0.116,0.005
0.003,8086,305,0.16,814,0.171,0.024,0.12,0.10200000000000001,517,0.121,0.004
0.004,8086,458,0.184,798,0.257,0.008,0.13,0.123,778,0.126,0.004
0.005,8086,545,0.216,789,0.34700000000000003,0.008,0.13,0.128,1049,0.131,0.004
0.006,8086,632,0.264,780,0.434,0.016,0.14,0.124,1312,0.136,0.004
0.007,8086,742,0.32,769,0.519,0.024,0.14,0.121,1569,0.14,0.004
0.008,8086,807,0.392,762,0.591,0.048,0.14,0.101,1784,0.145,0.004
0.009000000000000001,8086,982,0.47200000000000003,743,0.66,0.056,0.15,0.098,1992,0.149,0.004
0.01,8086,982,0.536,743,0.709,0.088,0.15,0.07,2142,0.154,0.004
0.011,8086,1091,0.608,732,0.75,0.10400000000000001,0.16,0.059000000000000004,2266,0.158,0.004
0.012,8086,1178,0.672,723,0.784,0.12,0.16,0.047,2367,0.163,0.004
0.013000000000000001,8086,1309,0.736,709,0.8140000000000001,0.128,0.17,0.043000000000000003,2459,0.167,0.004
0.014,8086,1396,0.784,700,0.842,0.136,0.17,0.039,2543,0.171,0.004
0.015,8086,1418,0.8240000000000001,698,0.862,0.152,0.18,0.028,2602,0.17500000000000002,0.004
0.016,8086,1549,0.872,684,0.884,0.152,0.18,0.032,2670,0.18,0.004
0.017,8086,1593,0.904,679,0.904,0.16,0.18,0.028,2730,0.184,0.004
0.018000000000000002,8086,1636,0.936,675,0.921,0.168,0.19,0.024,2781,0.188,0.004
0.019,8086,1658,0.96,673,0.935,0.176,0.19,0.02,2823,0.192,0.004
0.02,8086,1702,0.992,668,0.9460000000000001,0.184,0.2,0.016,2858,0.196,0.003
0.021,8086,1745,1.008,664,0.96,0.184,0.2,0.02,2900,0.2,0.003
0.022,8086,1745,1.024,664,0.972,0.192,0.2,0.016,2934,0.20400000000000001,0.003
